Spawning 4 workers for 500 images.
/root/lambda-patterns-instance/generate_synthetic_v5.py:1130: DeprecationWarning: 'mode' parameter is deprecated and will be removed in Pillow 13 (2026-10-15)
  return Image.fromarray(arr, mode='RGB')
/root/lambda-patterns-instance/generate_synthetic_v5.py:1130: DeprecationWarning: 'mode' parameter is deprecated and will be removed in Pillow 13 (2026-10-15)
  return Image.fromarray(arr, mode='RGB')
/root/lambda-patterns-instance/generate_synthetic_v5.py:1130: DeprecationWarning: 'mode' parameter is deprecated and will be removed in Pillow 13 (2026-10-15)
  return Image.fromarray(arr, mode='RGB')
/root/lambda-patterns-instance/generate_synthetic_v5.py:1130: DeprecationWarning: 'mode' parameter is deprecated and will be removed in Pillow 13 (2026-10-15)
  return Image.fromarray(arr, mode='RGB')
[155/500] synth_000158.png  (2645, 1804)  anns=12  rate=0.53img/s  eta=10.8min
[156/500] synth_000159.png  (1400, 918)  anns=9  rate=0.54img/s  eta=10.7min
[157/500] synth_000152.png  (1460, 1173)  anns=8  rate=0.53img/s  eta=10.7min
[158/500] synth_000153.png  (2062, 1002)  anns=3  rate=0.54img/s  eta=10.6min
[159/500] synth_000154.png  (1627, 1096)  anns=11  rate=0.54img/s  eta=10.5min
[160/500] synth_000155.png  (1595, 984)  anns=15  rate=0.54img/s  eta=10.4min
[161/500] synth_000160.png  (1684, 1082)  anns=9  rate=0.52img/s  eta=10.9min
[162/500] synth_000161.png  (4683, 2758)  anns=23  rate=0.52img/s  eta=10.8min
[163/500] synth_000162.png  (1977, 900)  anns=8  rate=0.53img/s  eta=10.7min
[164/500] synth_000163.png  (1522, 1054)  anns=10  rate=0.53img/s  eta=10.6min
[165/500] synth_000172.png  (3054, 900)  anns=10  rate=0.52img/s  eta=10.8min
[166/500] synth_000173.png  (1400, 1043)  anns=11  rate=0.52img/s  eta=10.7min
[167/500] synth_000174.png  (2082, 1227)  anns=7  rate=0.52img/s  eta=10.6min
[168/500] synth_000175.png  (1733, 1231)  anns=8  rate=0.53img/s  eta=10.5min
[169/500] synth_000164.png  (4276, 2834)  anns=19  rate=0.52img/s  eta=10.7min
